SYMBOL, SERIES, DATE1, PREV_CLOSE, OPEN_PRICE, HIGH_PRICE, LOW_PRICE, LAST_PRICE, CLOSE_PRICE, AVG_PRICE, TTL_TRD_QNTY, TURNOVER_LACS, NO_OF_TRADES, DELIV_QTY, DELIV_PER
BAJAJHIND, EQ, 28-Sep-2020, 4.95, 5.05, 5.20, 5.00, 5.20, 5.15, 5.12, 1014661, 51.92, 1497, 645692, 63.64
BAJAJHLDNG, EQ, 28-Sep-2020, 2441.00, 2467.00, 2520.00, 2465.05, 2495.45, 2492.60, 2498.17, 16279, 406.68, 4379, 6774, 41.61
BAJFINANCE, EQ, 28-Sep-2020, 3138.95, 3178.00, 3350.00, 3162.75, 3340.00, 3335.15, 3289.50, 5588695, 183840.07, 215213, 541817, 9.69
BALAJITELE, EQ, 28-Sep-2020, 70.15, 70.80, 74.40, 70.30, 71.00, 70.75, 71.92, 200367, 144.09, 2168, 84576, 42.21
BALAMINES, EQ, 28-Sep-2020, 813.30, 819.85, 838.85, 817.00, 821.20, 822.45, 824.94, 116917, 964.49, 5083, 48756, 41.70
BALKRISHNA, EQ, 28-Sep-2020, 13.35, 12.70, 14.00, 12.70, 13.20, 13.40, 13.57, 5743, 0.78, 111, 4140, 72.09
BALKRISIND, EQ, 28-Sep-2020, 1355.95, 1362.90, 1483.60, 1351.00, 1443.00, 1447.65, 1431.36, 3043665, 43565.94, 113657, 698570, 22.95
BALMLAWRIE, EQ, 28-Sep-2020, 98.95, 99.90, 102.50, 99.45, 100.15, 100.30, 100.73, 172746, 174.01, 3536, 107231, 62.07
BALPHARMA, EQ, 28-Sep-2020, 44.70, 44.70, 45.00, 43.80, 44.00, 44.35, 44.53, 28175, 12.55, 470, 12625, 44.81
BALRAMCHIN, EQ, 28-Sep-2020, 146.05, 147.35, 152.25, 146.95, 150.35, 150.90, 150.51, 598358, 900.60, 6655, 269560, 45.05
BANARBEADS, EQ, 28-Sep-2020, 52.10, 52.10, 52.90, 52.00, 52.90, 52.55, 52.18, 1272, 0.66, 30, 1083, 85.14
BANARISUG, EQ, 28-Sep-2020, 1304.35, 1314.95, 1315.00, 1300.00, 1300.05, 1307.75, 1302.98, 895, 11.66, 94, 548, 61.23
BANCOINDIA, EQ, 28-Sep-2020, 87.30, 89.40, 90.95, 87.65, 88.80, 88.60, 89.22, 63876, 56.99, 1260, 29861, 46.75
BANDHANBNK, EQ, 28-Sep-2020, 265.00, 269.15, 281.90, 267.20, 281.50, 280.45, 276.23, 7389888, 20413.12, 70822, 1373294, 18.58
BANG, EQ, 28-Sep-2020, 17.80, 17.35, 17.90, 17.35, 17.80, 17.80, 17.78, 1504, 0.27, 17, 1504, 100.00
BANKA, SM, 28-Sep-2020, 35.95, 34.20, 36.00, 34.20, 36.00, 36.00, 34.36, 33000, 11.34, 11, 21000, 63.64
BANKBARODA, EQ, 28-Sep-2020, 41.55, 42.10, 43.45, 41.65, 43.35, 43.35, 42.51, 21365403, 9081.52, 35298, 2845969, 13.32
BANKBEES, EQ, 28-Sep-2020, 211.10, 209.10, 218.73, 209.10, 218.72, 218.15, 216.14, 881259, 1904.78, 8426, 350416, 39.76
BANKINDIA, EQ, 28-Sep-2020, 40.15, 40.80, 42.35, 40.60, 42.35, 42.10, 41.74, 1877972, 783.83, 6880, 521638, 27.78
BANSWRAS, EQ, 28-Sep-2020, 69.55, 68.90, 71.90, 67.45, 68.25, 68.45, 69.95, 30413, 21.28, 560, 4939, 16.24
BASF, EQ, 28-Sep-2020, 1396.90, 1423.65, 1465.00, 1406.00, 1445.00, 1447.60, 1438.99, 26370, 379.46, 5150, 12160, 46.11
BASML, EQ, 28-Sep-2020, 83.50, 86.40, 90.00, 83.65, 90.00, 89.10, 87.23, 1390, 1.21, 35, 1115, 80.22
BATAINDIA, EQ, 28-Sep-2020, 1303.00, 1321.00, 1354.95, 1311.70, 1349.00, 1344.90, 1339.03, 530922, 7109.18, 17313, 93398, 17.59
BAYERCROP, EQ, 28-Sep-2020, 5990.60, 6080.00, 6080.00, 5901.00, 5914.00, 5940.05, 5990.70, 28148, 1686.26, 4948, 19043, 67.65
BBL, EQ, 28-Sep-2020, 689.00, 699.95, 718.15, 698.80, 707.00, 704.55, 706.19, 5705, 40.29, 803, 3543, 62.10
BBTC, EQ, 28-Sep-2020, 1300.30, 1314.70, 1326.80, 1298.00, 1307.95, 1303.10, 1310.80, 100811, 1321.43, 5356, 32533, 32.27
BCG, EQ, 28-Sep-2020, 6.45, 6.40, 6.40, 6.15, 6.15, 6.15, 6.16, 2871700, 176.95, 1829, 1626203, 56.63
BCP, EQ, 28-Sep-2020, 4.70, 4.80, 4.90, 4.60, 4.90, 4.90, 4.81, 78163, 3.76, 111, 57257, 73.25
BDL, EQ, 28-Sep-2020, 298.30, 301.75, 304.45, 297.20, 298.40, 298.25, 300.45, 311931, 937.21, 7676, 106405, 34.11
BEL, EQ, 28-Sep-2020, 93.30, 94.00, 98.30, 93.85, 97.75, 97.45, 96.69, 7289771, 7048.83, 44475, 1903429, 26.11
BEML, EQ, 28-Sep-2020, 602.80, 607.60, 614.00, 605.15, 610.05, 611.30, 609.90, 156360, 953.64, 5686, 24997, 15.99
BEPL, EQ, 28-Sep-2020, 72.80, 73.90, 76.90, 72.00, 72.75, 72.90, 74.17, 2034265, 1508.76, 15220, 631672, 31.05
BERGEPAINT, EQ, 28-Sep-2020, 582.25, 585.90, 596.50, 581.80, 588.50, 587.25, 588.80, 1409781, 8300.78, 28411, 159960, 11.35
BETA, SM, 28-Sep-2020, 97.45, 97.00, 107.00, 92.40, 107.00, 105.60, 102.24, 17600, 17.99, 21, 13600, 77.27
BFINVEST, EQ, 28-Sep-2020, 266.90, 270.40, 284.60, 270.40, 283.70, 282.70, 278.67, 19704, 54.91, 1237, 4677, 23.74
BFUTILITIE, EQ, 28-Sep-2020, 225.20, 229.35, 247.70, 227.00, 245.00, 245.25, 239.34, 230240, 551.05, 5287, 66575, 28.92
BGRENERGY, EQ, 28-Sep-2020, 33.55, 32.65, 35.00, 32.65, 35.00, 34.80, 34.37, 48120, 16.54, 371, 32465, 67.47
BHAGERIA, EQ, 28-Sep-2020, 131.95, 133.55, 133.60, 131.30, 133.40, 133.00, 132.92, 6425, 8.54, 218, 4166, 64.84
BHAGYANGR, EQ, 28-Sep-2020, 18.05, 18.05, 18.30, 18.05, 18.05, 18.25, 18.14, 1043, 0.19, 11, 671, 64.33
BHAGYAPROP, EQ, 28-Sep-2020, 22.00, 21.80, 22.50, 21.75, 21.75, 21.75, 22.01, 1529, 0.34, 17, 1082, 70.77
BHANDARI, EQ, 28-Sep-2020, 1.05, 1.05, 1.10, 1.00, 1.05, 1.10, 1.05, 120039, 1.26, 263, 102758, 85.60
BHARATFORG, EQ, 28-Sep-2020, 444.90, 452.00, 457.90, 445.00, 452.00, 454.15, 451.64, 1904837, 8602.97, 39617, 784349, 41.18
BHARATGEAR, EQ, 28-Sep-2020, 45.75, 45.75, 48.50, 45.05, 48.50, 47.50, 46.87, 6660, 3.12, 166, 4191, 62.93
BHARATRAS, EQ, 28-Sep-2020, 9088.45, 9250.00, 9524.95, 9200.00, 9287.00, 9309.35, 9281.38, 2636, 244.66, 872, 1649, 62.56
BHARATWIRE, EQ, 28-Sep-2020, 23.55, 23.55, 24.70, 23.55, 24.70, 24.60, 24.29, 4097, 0.99, 68, 3711, 90.58
BHARTIARTL, EQ, 28-Sep-2020, 439.65, 446.00, 447.65, 434.05, 442.40, 443.65, 441.88, 21053041, 93029.46, 164974, 8199756, 38.95
BHEL, EQ, 28-Sep-2020, 30.15, 30.85, 32.25, 30.50, 31.90, 31.80, 31.66, 56524700, 17896.35, 80033, 11981977, 21.20
BILENERGY, EQ, 28-Sep-2020, 0.80, 0.75, 0.85, 0.75, 0.85, 0.85, 0.80, 280600, 2.25, 222, 206362, 73.54
BINDALAGRO, EQ, 28-Sep-2020, 11.95, 12.35, 12.35, 11.75, 12.25, 12.00, 12.03, 14932, 1.80, 78, 11337, 75.92
BIOCON, EQ, 28-Sep-2020, 428.00, 430.00, 452.20, 428.10, 450.00, 450.40, 442.28, 7268448, 32147.22, 78466, 2378756, 32.73
BIRLACABLE, EQ, 28-Sep-2020, 50.35, 50.35, 60.35, 50.35, 53.75, 53.45, 53.57, 72677, 38.94, 1048, 34862, 47.97
BIRLACORPN, EQ, 28-Sep-2020, 630.80, 635.00, 666.00, 622.85, 655.00, 655.95, 648.83, 132548, 860.02, 9337, 54649, 41.23
BIRLAMONEY, EQ, 28-Sep-2020, 39.15, 39.30, 40.45, 39.30, 39.90, 39.90, 39.90, 91106, 36.35, 762, 43447, 47.69
BIRLATYRE, EQ, 28-Sep-2020, 20.35, 20.35, 21.35, 20.35, 21.35, 21.30, 21.02, 229976, 48.34, 1599, 131893, 57.35
BKMINDST, EQ, 28-Sep-2020, 0.95, 1.00, 1.00, 0.90, 1.00, 1.00, 0.95, 32644, 0.31, 66, 12215, 37.42
BLISSGVS, EQ, 28-Sep-2020, 149.35, 150.15, 152.95, 150.10, 151.45, 151.35, 151.26, 588244, 889.80, 3612, 242221, 41.18
BLS, EQ, 28-Sep-2020, 82.75, 83.05, 86.85, 80.05, 86.85, 86.85, 85.22, 218587, 186.28, 976, 177626, 81.26
BLUEDART, EQ, 28-Sep-2020, 2878.95, 2899.90, 2993.25, 2860.25, 2954.00, 2961.35, 2939.08, 28978, 851.69, 3795, 15656, 54.03
BLUESTARCO, EQ, 28-Sep-2020, 638.45, 653.95, 660.00, 646.00, 651.50, 650.60, 652.43, 44314, 289.12, 4891, 18593, 41.96
BODALCHEM, EQ, 28-Sep-2020, 67.80, 68.50, 69.35, 66.70, 68.00, 68.00, 68.04, 526397, 358.15, 3900, 153036, 29.07
BOHRA, SM, 28-Sep-2020, 1.20, 1.20, 1.20, 1.15, 1.15, 1.15, 1.16, 8000, 0.09, 4, 8000, 100.00
BOMDYEING, EQ, 28-Sep-2020, 63.25, 63.70, 65.80, 63.40, 64.05, 64.15, 64.25, 1823308, 1171.51, 8809, 422460, 23.17
BORORENEW, EQ, 28-Sep-2020, 71.20, 72.90, 74.75, 72.05, 74.75, 74.75, 73.99, 81370, 60.20, 484, 58078, 71.38
BOSCHLTD, EQ, 28-Sep-2020, 12930.05, 13099.00, 13682.00, 12931.35, 13421.10, 13490.80, 13482.17, 90572, 12211.07, 18293, 14958, 16.52
BPCL, EQ, 28-Sep-2020, 375.75, 377.00, 390.55, 375.70, 384.45, 385.15, 384.59, 7130422, 27422.76, 76181, 1355796, 19.01
BPL, EQ, 28-Sep-2020, 16.80, 17.60, 17.60, 16.60, 17.60, 17.60, 17.41, 54199, 9.44, 279, 40392, 74.53
BRIGADE, EQ, 28-Sep-2020, 157.10, 159.00, 162.85, 159.00, 162.75, 162.30, 161.20, 62714, 101.09, 1805, 35106, 55.98
BRIGHT, SM, 28-Sep-2020, 8.00, 7.60, 8.10, 7.60, 8.10, 8.10, 8.03, 48000, 3.86, 7, 45000, 93.75
BRITANNIA, EQ, 28-Sep-2020, 3686.40, 3710.90, 3778.00, 3689.00, 3731.05, 3737.35, 3737.45, 390640, 14599.97, 23905, 96348, 24.66
BRITANNIA, N2, 28-Sep-2020, 31.84, 31.60, 31.84, 31.60, 31.78, 31.79, 31.75, 3632, 1.15, 67, 3512, 96.70
